Nama,Energi,Protein,Lemak,Karbohidrat,Serat
ampela,270,32.3,11.2,9.9,0
ayam_kentucky,286,32.1,16.1,1.1,0
ayam_panggang,237,27.07,13.49,0,0
bakpia,272,8.7,6.7,44.1,0.9
bakso,202,12.41,13.16,7.58,0.5
bakwan,280,8.2,10.2,39,3.4
bayam,16,0.9,0.4,2.9,0.7
bebek_goreng,300,24,20.7,4.5,0
belimbing,36,0.4,0.4,8.8,3.2
bengkuang,59,1.4,0.2,12.8,1
bihun_goreng,381,6.1,3.9,80.3,0
buah_naga,71,1.7,3.1,9.1,3.2
bubur_ayam,155,11.48,5.16,15.05,0
bubur_ketan_hitam,181,4,1.2,37.3,0.3
durian,134,2.5,3,28,3.5
gado_gado,137,6.1,3.2,21,1.1
getuk_singkong,204,0.5,1.4,47.4,0.8
gulai_ikan,106,16.5,3.3,2.5,0
gulai_kambing,126,4.2,9.4,6.2,0
ikan_lele_goreng,240,17.57,14.53,8.54,0.5
ikan_mujahir_goreng,416,46.9,23.9,0,0
jagung_rebus,142,5,0.7,30.3,0.8
jambu_biji,49,0.9,0.3,12.2,2.4
jeruk,45,0.9,0.2,11.2,1.4
kangkung_rebus,22,2.5,0.6,3.1,1.2
keju,326,22.8,20.3,13.1,0
kentang_rebus,87,1.87,0.1,20.13,1.8
keripik_bayam,586,4.9,40.6,50.2,0.5
ketoprak,153,7.9,7.7,13,2.9
klepon,215,3.7,3.7,41.8,1
lapis_legit,389,6.6,15.7,55.5,0.5
makaroni,353,8.7,0.4,78.7,4.9
mie_ayam,102,6.2,3.9,10.5,0
mie_goreng,380,8,14,54,2
nasi_goreng,168,6.3,6.23,21.06,0.7
nasi_jagung,357,8.8,0.5,79.5,6.2
nasi_putih,180,3,0.3,39.8,0.2
onde-onde,336,4,9.8,57.9,0
pempek_telur,156,4.7,2.7,28.3,0
pisang,134,1.1,0.5,35.5,1.4
rawon,60,5.4,2.5,4,0
rendang_sapi,193,22.6,7.9,7.8,0
rujak_cingur,153,11.3,8.4,8,1.4
sayur_asem,29,0.7,0.6,5,0.6
sayur_sop,27,1.3,2,1,0.3
semur_jengkol,212,6,10,29.1,0
singkong_rebus,146,1.24,0.26,34.76,1.6
sop_buntut,71,7.5,3.6,2.2,0
soto,110,2.9,9.5,3.2,0
spaghetti,139,7.4,2.1,22.6,0
susu_sapi,61,3.2,3.5,4.3,0
tahu,115,9.7,8.5,2.5,0.1
tahu_telur,328,12.6,19.9,24.6,0.4
telur_dadar,251,16.3,19.4,1.4,0
tempe_goreng,336,20,28,7.8,3.4
udang,91,21,0.2,0.1,0
